voucher_code,total_stock,display_date_from,display_date_to,claimed,redeemed,claim_rate,redeem_rate,discount_type
xXC3761,100356.0,2020-09-12 14:36:00,2025-12-31 23:59:00,0.0,1.0,0.0,9.964526286420344e-06,Cash Voucher
MA_MYKINGDOM_05022024_SF4675,1000.0,2024-03-19 10:00:00,2024-03-31 23:59:00,0.0,0.0,0.0,0.0,Discount Percentage (For SKU)
MA_HIGHLANDS_01032024_SF4636,20000.0,2024-03-01 10:00:00,2024-03-31 23:59:00,0.0,0.0,0.0,0.0,Free SKU
MA_ELSASPEAK_01022024_SF4657,1000.0,2024-03-06 10:00:00,2024-05-31 23:59:00,0.0,0.0,0.0,0.0,Discount Fixed Amount (For SKU)
MA_HEALTHYCARE_29122023_SF4386,200.0,2023-12-29 10:00:00,2024-04-01 23:59:00,11.0,0.0,0.055,0.0,Buy 1 get 1
MA_iBasic_28032024_SF4767,1000.0,2024-03-29 10:00:00,2024-07-31 23:59:00,0.0,0.0,0.0,0.0,Discount Fixed Amount (For Total Bill)
MAA_SUONMUOI_30032024_SF4792,300.0,2024-03-30 10:00:00,2024-06-30 23:59:00,0.0,0.0,0.0,0.0,Free SKU
MAA_YENTRANGBEAUTY_24012024_SF4578,500.0,2024-01-30 10:00:00,2024-03-31 23:59:00,2.0,0.0,0.004,0.0,Discount Percentage (For SKU)
MA_KHRUABAANTHAI_18032024_SF4699,500.0,2024-03-25 10:00:00,2024-04-29 23:59:00,0.0,0.0,0.0,0.0,Discount Fixed Amount (For Total Bill)
MA_CMSEDU_15112023_SF4204,500.0,2023-11-23 10:00:00,2024-01-01 23:59:00,1.0,0.0,0.002,0.0,Free SKU
MA_SALADIN_14032024_SF4665,500.0,2024-03-08 10:00:00,2024-07-12 23:59:00,0.0,0.0,0.0,0.0,Discount Percentage (For SKU)
MA_LACOSTE_16112023_SF4211,100.0,2023-11-23 10:00:00,2024-01-01 23:59:00,2.0,0.0,0.02,0.0,Discount Fixed Amount (For SKU)
MA_BTASKEE_01032024_SF4632,2000.0,2024-03-01 10:00:00,2024-09-01 23:59:00,0.0,0.0,0.0,0.0,Discount Fixed Amount (For SKU)
MA_HIGHLANDS_01032024_SF4635,30000.0,2024-03-01 10:00:00,2024-03-31 23:59:00,0.0,0.0,0.0,0.0,Discount Fixed Amount (For Total Bill)
MA_ESTEELAUDER_05032024_SF4664,500.0,2024-03-08 10:00:00,2024-03-29 23:59:00,0.0,0.0,0.0,0.0,Free SKU
MA_HIGHLANDS_01032024_SF4634,10000.0,2024-03-01 10:00:00,2024-03-31 23:59:00,0.0,0.0,0.0,0.0,Buy 2 get 1
MA_RAUMAMIX_03032024_SF4643,1500.0,2024-03-05 10:00:00,2024-04-30 23:59:00,0.0,0.0,0.0,0.0,Discount Percentage (For SKU)
MA_MAC_05032024_SF4663,500.0,2024-03-08 10:00:00,2024-03-29 23:59:00,0.0,0.0,0.0,0.0,Free SKU
MA_ALPHAFITNESS_29032024_SF4721,1000.0,2024-03-29 10:00:00,2024-07-01 23:59:00,0.0,0.0,0.0,0.0,Free SKU
MAA_ANSSPA_24012024_SF4569,500.0,2024-01-30 10:00:00,2024-03-31 23:59:00,20.0,0.0,0.04,0.0,Discount Fixed Amount (For SKU)
